Overs,Mdns,Runs,Wkts,Econ,Avg,SR,NewWkts
48.3,9,128,9,2.63,14.22,32.3,9
54,7,186,4,3.44,46.5,81,0
67.3,6,190,9,2.81,21.11,45,0
51,7,141,4,2.76,35.25,76.5,0
44,5,157,0,3.56,-,-,0
73,8,267,5,3.65,53.4,87.6,0
43.2,14,85,12,1.96,7.08,21.6,0
46,6,151,6,3.28,25.16,46,0
70,18,191,4,2.72,47.75,105,0
46.1,6,167,2,3.61,83.5,138.5,0
58.4,10,214,5,3.64,42.8,70.4,0
62,14,165,3,2.66,55,124,0
74,18,198,12,2.67,16.5,37,0
43,18,104,6,2.41,17.33,43,0
74.5,18,169,4,2.25,42.25,112.2,0
49.3,20,112,7,2.26,16,42.4,0
40,11,98,5,2.45,19.6,48,0
32,6,134,7,4.18,19.14,27.4,0
42,5,108,0,2.57,-,-,0
14,1,29,0,2.07,-,-,0
21.3,2,72,3,3.34,24,43,0
33.4,4,128,2,3.8,64,101,0
72,13,209,5,2.9,41.8,86.4,0
66,10,247,5,3.74,49.4,79.2,0
31,8,95,5,3.06,19,37.2,0
42,8,160,10,3.8,16,25.2,0
45,9,118,7,2.62,16.85,38.5,0
28,3,102,4,3.64,25.5,42,0
38,10,90,8,2.36,11.25,28.5,0
18,2,70,4,3.88,17.5,27,0
46,13,98,12,2.13,8.16,23,0
62.4,31,87,7,1.38,12.42,53.7,0
42,13,126,7,3,18,36,0
46,6,166,6,3.6,27.66,46,0
38,9,80,3,2.1,26.66,76,0
5,1,22,1,4.4,22,30,0
66.2,12,225,10,3.39,22.5,39.8,0
39,9,115,4,2.94,28.75,58.5,0
41.1,7,140,13,3.4,10.76,19,0
69.3,7,230,3,3.3,76.66,139,0
59.5,17,119,8,1.98,14.87,44.8,0
44.2,5,124,4,2.79,31,66.5,0
64.3,7,167,12,2.58,13.91,32.2,0
69,9,207,1,3,207,414,0
59.2,17,171,6,2.88,28.5,59.3,0
62.5,13,182,7,2.89,26,53.8,0
61.4,17,125,8,2.02,15.62,46.2,0
64,12,185,2,2.89,92.5,192,0
36.5,9,83,4,2.25,20.75,55.2,0
54,9,149,4,2.75,37.25,81,0
54.3,10,201,7,3.68,28.71,46.7,0
37.1,8,90,6,2.42,15,37.1,0
8,2,13,0,1.62,-,-,0
45.4,11,130,8,2.84,16.25,34.2,0
70,11,216,4,3.08,54,105,0
8.1,1,24,2,2.93,12,24.5,0
68.2,16,191,5,2.79,38.2,82,0
19.4,4,59,5,3,11.8,23.6,0
47,11,121,7,2.57,17.28,40.2,0
17,1,68,0,4,-,-,0
23.5,8,47,1,1.97,47,143,0
51.5,10,124,3,2.39,41.33,103.6,0
29,4,108,6,3.72,18,29,0
34.2,11,73,3,2.12,24.33,68.6,0
86.5,22,149,6,1.71,24.83,86.8,0
66.2,16,189,8,2.84,23.62,49.7,0
49.4,15,114,6,2.29,19,49.6,0
22,4,76,1,3.45,76,132,0
30.2,7,85,5,2.8,17,36.4,0
5,0,19,0,3.8,-,-,0
29,1,99,3,3.41,33,58,0
24,4,71,5,2.95,14.2,28.8,0
61.1,13,106,5,1.73,21.2,73.4,0
