Inn_1,Inn_2,Runs,BF,SR,Fours,Sixes
1,-,1,12,8.33,0,0
7,DNB,7,65,10.76,1,0
6,39,45,185,24.32,6,0
0,2,2,38,5.26,0,0
2,DNB,2,15,13.33,0,0
61,-,61,157,38.85,6,0
15,101,116,336,34.52,7,0
16,45,61,169,36.09,6,0
15,15,30,67,44.77,6,0
15,DNB,15,27,55.55,3,0
43,22,65,227,28.63,8,0
10,69,79,152,51.97,9,0
3,49,52,153,33.98,5,1
12,0*,12,45,26.66,1,0
61,-,61,131,46.56,3,0
0,DNB,0,8,0,0,0
132,-,132,266,49.62,16,0
47,11,58,136,42.64,6,0
40,3,43,149,28.85,7,0
53,57*,110,264,41.66,13,0
30,3,33,93,35.48,3,0
11,23*,34,87,39.08,5,0
110,88*,198,585,33.84,13,0
83,27,110,262,41.98,8,1
7,-,7,29,24.13,1,0
148*,-,148,340,43.52,17,1
17,4,21,47,44.68,4,0
64,-,64,216,29.62,9,0
115,-,115,268,42.91,13,3
12,-,12,83,14.45,1,0
1,85*,86,290,29.65,4,0
0,69,69,208,33.17,7,0
105,-,105,229,45.85,10,2
25,DNB,25,61,40.98,2,1
5,36*,41,138,29.71,6,0
95,-,95,359,26.46,7,2
29,40,69,169,40.82,8,1
16,87,103,250,41.2,8,1
19,0,19,35,54.28,3,0
160,13,173,307,56.35,28,0
12,23,35,71,49.29,7,0
79*,-,79,211,37.44,12,0
21,15,36,97,37.11,3,0
49,-,49,150,32.66,6,0
7,-,7,35,20,1,0
50,30,80,271,29.52,9,0
53,0,53,82,64.63,7,2
11,20,31,159,19.49,3,0
5,30*,35,144,24.3,4,0
17,51,68,183,37.15,7,0
157*,42*,199,327,60.85,23,5
189*,-,189,443,42.66,19,3
68,21*,89,172,51.74,14,0
24,89*,113,299,37.79,8,1
5,65*,70,207,33.81,7,0
38,99,137,304,45.06,10,1
4,34,38,81,46.91,5,0
3,8,11,29,37.93,2,0
23,73,96,156,61.53,15,0
16,61*,77,144,53.47,13,0
75*,-,75,138,54.34,9,0
139*,-,139,228,60.96,18,1
75,-,75,214,35.04,8,0
84,6,90,212,42.45,10,0
105,DNB,105,236,44.49,11,1
31,-,31,66,46.96,4,0
27,13,40,118,33.89,6,0
6,41,47,141,33.33,4,1
66,35,101,163,61.96,14,1
29,18,47,127,37,6,0
10,43,53,133,39.84,5,0
158,44,202,369,54.74,20,2
177,-,177,344,51.45,20,0
73,130*,203,336,60.41,20,5
130*,DNB,130,199,65.32,14,1
92,150*,242,489,49.48,30,3
40,71,111,243,45.67,18,1
0,1,1,19,5.26,0,0
59,52*,111,207,53.62,15,1
13,3,16,63,25.39,0,0
37,28*,65,220,29.54,4,0
121,55,176,357,49.29,16,0
0,61,61,120,50.83,9,0
162,10,172,287,59.93,22,1
149,66,215,468,45.94,16,1
33,0,33,69,47.82,4,1
8,136*,144,240,60,17,1
54,-,54,25,216,3,5
58,-,58,106,54.71,5,2
0,109*,109,348,31.32,15,0
39,19*,58,151,38.41,9,0
78,-,78,156,50,4,0
147,DNB,147,287,51.21,14,1
44,39*,83,179,46.36,11,1
23,9,32,117,27.35,4,0
111,50*,161,371,43.39,20,0
6,36,42,62,67.74,5,0
114,7,121,255,47.45,18,0
37,27,64,174,36.78,10,0
38,62,100,258,38.75,15,0
71,-,71,170,41.76,7,0
9,13,22,67,32.83,3,0
12,27,39,86,45.34,7,0
54,32,86,218,39.44,10,0
18,60*,78,167,46.7,10,0
24,91,115,282,40.78,10,0
28,51,79,209,37.79,10,0
155,100*,255,450,56.66,23,1
59,107*,166,357,46.49,16,1
29,186,215,327,65.74,30,3
131,-,131,177,74.01,17,2
0,85,85,132,64.39,9,0
36,22*,58,98,59.18,7,0
74,-,74,101,73.26,13,0
17,7,24,76,31.57,2,0
39*,-,39,120,32.5,0,0
13,19,32,82,39.02,2,0
132,-,132,275,48,14,1
1,15,16,52,30.76,1,0
7,13,20,71,28.16,3,0
4,DNB,4,14,28.57,1,0
64,5,69,121,57.02,10,0
2,9,11,62,17.74,1,0
16,-,16,35,45.71,4,0
24,-,24,72,33.33,2,0
63,57,120,217,55.29,10,3
26,DNB,26,53,49.05,2,0
37,4,41,68,60.29,6,0
27,45,72,183,39.34,8,0
22,93,115,253,45.45,18,0
102,-,102,163,62.57,14,2
120,4,124,257,48.24,16,1
75,3,78,136,57.35,7,0
108,46,154,285,54.03,16,0
7,-,7,24,29.16,0,0
173,-,173,351,49.28,15,2
10,20,30,73,41.09,4,0
28,40,68,132,51.51,5,1
110,62*,172,355,48.45,18,2
43,0*,43,101,42.57,4,0
73,135*,208,374,55.61,14,4
105,10,115,184,62.5,12,3
201*,-,201,270,74.44,15,5
10,17,27,69,39.13,4,0
161,109*,270,531,50.84,27,0
0,2*,2,10,20,0,0
54,2,56,60,93.33,8,2
31,-,31,56,55.35,5,0
0,0,0,10,0,0,0
224,DNB,224,325,68.92,31,1
0,113,113,265,42.64,16,0
6,DNB,6,7,85.71,0,1
182*,-,182,326,55.82,23,1
19,27,46,62,74.19,6,1
3,31,34,67,50.74,5,0
147,49,196,365,53.69,19,2
58,46,104,203,51.23,16,1
2,37,39,72,54.16,5,0
60,-,60,89,67.41,5,2
8,-,8,11,72.72,2,0
50,7,57,91,62.63,10,0
2,21,23,49,46.93,3,0
5,0,5,33,15.15,0,0
7,-,7,30,23.33,0,0
0,34,34,38,89.47,6,0
115,DNB,115,316,36.39,13,0
