Overs,Mdns,Runs,Wkts,NewWkts
34.5,5,107,6,6
25,3,93,2,0
35,5,95,0,0
3,1,11,0,0
29,6,109,4,0
33.3,3,88,7,0
15.3,5,38,3,0
22.5,2,91,1,0
28,2,89,1,0
42.4,9,111,5,0
42,15,113,1,0
29,9,68,5,0
62.3,13,156,7,0
50,9,177,4,0
94,38,140,5,0
34,3,169,3,0
57,20,133,2,0
7.4,0,39,3,0
34,3,135,2,0
52.3,1,244,4,0
36,4,151,2,0
38.4,4,165,9,0
38,12,103,1,0
42.1,10,97,7,0
38,8,103,1,0
29,10,63,4,0
46,12,142,2,0
38,11,109,4,0
39.2,6,117,6,0
24,3,127,3,0
27,1,71,2,0
63,9,178,6,0
34,18,63,0,0
55,4,220,2,0
55,4,202,1,0
70.1,9,286,12,0
35.4,3,138,5,0
41,3,144,2,0
76.5,16,233,4,0
30,8,87,3,0
21,7,67,5,0
40.1,8,144,6,0
25,4,80,3,0
24,3,88,3,0
10,1,47,0,0
38,9,93,4,0
38,6,109,4,0
44.5,6,142,3,0
25,2,78,3,0
23,6,60,3,0
52,15,151,7,0
46,12,120,3,0
37,10,123,7,0
27,3,103,3,0
30,2,120,5,0
37,3,158,4,0
87,18,233,7,0
44,4,184,2,0
17,2,57,0,0
36,5,105,4,0
40,5,139,2,0
37,5,148,4,0
60,9,215,5,0
25.5,4,74,5,0
55.2,8,132,8,0
46,2,163,1,0
39.1,5,111,5,0
64.3,16,161,9,0
69.2,18,154,13,0
60,16,145,5,0
49.1,11,105,6,0
37,8,115,3,0
42,9,109,3,0
72,17,140,4,0
48,10,136,3,0
31,5,102,3,0
50.5,8,145,5,0
81,16,298,5,0
77.5,18,172,4,0
70,13,213,8,0
70,9,205,8,0
53.5,10,106,8,0
61,8,150,1,0
57.2,8,178,4,0
24.5,6,55,2,0
37,7,121,2,0
63.5,13,161,9,0
45.1,5,170,3,0
40,5,116,2,0
65,16,140,2,0
28.3,5,81,4,0
38,6,114,2,0
47,10,134,5,0
36.5,5,111,6,0
32,5,116,4,0
47.3,14,118,10,0
21,2,68,1,0
30,4,77,3,0
